Nome Completo,CPF,Logradouro,Munic¡pio da NotificaÆo,Telefone de Contato,EvoluÆo Caso,Data da NotificaÆo,CEP,Resultado do Teste,Sexo,IDADE,Data do in¡cio dos sintomas
FULANE SILVE,88890062,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-26,0,Negativo,Masculino,28,22/05/2020
FULANE SILVE,88890063,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-28,0,Negativo,Masculino,40,28/05/2020
FULANE SILVE,88890064,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-04-22,0,,Feminino,5,18/04/2020
FULANE SILVE,88890065,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-02,0,Negativo,Feminino,46,02/06/2020
FULANE SILVE,88890066,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-12,0,Negativo,Feminino,28,12/06/2020
FULANE SILVE,88890067,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-09,0,Negativo,Feminino,54,09/06/2020
FULANE SILVE,88890068,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-24,0,Negativo,Feminino,36,23/06/2020
FULANE SILVE,88890069,RUA LUGAR NENHUM,Itabirito,99999999,,2020-04-28,0,,Feminino,31,19/04/2020
FULANE SILVE,88890070,RUA LUGAR NENHUM,Ponte Nova,99999999,,2020-06-19,0,Negativo,Feminino,41,19/06/2020
FULANE SILVE,88890071,RUA LUGAR NENHUM,Itabirito,99999999,Cura,2020-06-19,0,Negativo,Feminino,20,18/06/2020
FULANE SILVE,88890072,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-23,0,Negativo,Feminino,36,22/06/2020
FULANE SILVE,88890073,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-06,0,,Feminino,24,02/07/2020
FULANE SILVE,88890074,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-04,0,Negativo,Masculino,25,02/06/2020
FULANE SILVE,88890075,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-10,0,,Masculino,2,07/06/2020
FULANE SILVE,88890076,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-25,0,Negativo,Masculino,35,25/06/2020
FULANE SILVE,88890077,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-06,0,Negativo,Masculino,35,18/04/2020
FULANE SILVE,88890078,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-03-25,0,,Feminino,18,21/03/2020
FULANE SILVE,88890079,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-06,0,Negativo,Feminino,29,05/06/2020
FULANE SILVE,88890080,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-03,0,Negativo,Feminino,18,03/06/2020
FULANE SILVE,88890081,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-03,0,Negativo,Feminino,49,25/05/2020
FULANE SILVE,88890082,RUA LUGAR NENHUM,Ouro Preto,99999999,Cura,2020-07-03,0,Positivo,Masculino,33,08/06/2020
FULANE SILVE,88890083,RUA LUGAR NENHUM,Ouro Branco,99999999,,2020-06-04,0,Negativo,Masculino,39,04/06/2020
FULANE SILVE,88890084,RUA LUGAR NENHUM,SÆo Paulo,99999999,,2020-07-07,0,Negativo,Masculino,38,03/07/2020
FULANE SILVE,88890085,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-04,0,Negativo,Masculino,50,02/06/2020
