Nome Completo,CPF,Logradouro,Munic¡pio da NotificaÆo,Telefone de Contato,EvoluÆo Caso,Data da NotificaÆo,CEP,Resultado do Teste,Sexo,IDADE,Data do in¡cio dos sintomas
FULANE SILVE,88888888,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-04,0,Negativo,Masculino,38,03/06/2020
FULANE SILVE,88888889,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-20,0,Negativo,Masculino,30,19/06/2020
FULANE SILVE,88888890,RUA LUGAR NENHUM,Itabirito,99999999,,2020-07-01,0,Positivo,Masculino,45,30/06/2020
FULANE SILVE,88888891,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-17,0,Negativo,Masculino,55,17/06/2020
FULANE SILVE,88888892,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-23,0,Negativo,Masculino,52,23/06/2020
FULANE SILVE,88888893,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-31,0,Negativo,Masculino,56,25/05/2020
FULANE SILVE,88888894,RUA LUGAR NENHUM,SÆo Paulo,99999999,,2020-07-08,0,Positivo,Masculino,56,06/07/2020
FULANE SILVE,88888895,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-09,0,Negativo,Masculino,34,09/06/2020
FULANE SILVE,88888896,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-16,0,Negativo,Feminino,31,01/06/2020
FULANE SILVE,88888897,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-06,0,Negativo,Feminino,30,20/05/2020
FULANE SILVE,88888898,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-04,0,Negativo,Masculino,42,01/06/2020
FULANE SILVE,88888899,RUA LUGAR NENHUM,SÆo Paulo,99999999,,2020-05-28,0,Negativo,Masculino,0,26/05/2020
FULANE SILVE,88888900,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-26,0,Negativo,Masculino,45,25/06/2020
FULANE SILVE,88888901,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-26,0,Negativo,Masculino,54,26/06/2020
FULANE SILVE,88888902,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-26,0,Negativo,Masculino,51,26/05/2020
FULANE SILVE,88888903,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-31,0,Negativo,Masculino,51,27/05/2020
FULANE SILVE,88888904,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-31,0,Negativo,Masculino,45,27/05/2020
FULANE SILVE,88888905,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-17,0,Negativo,Masculino,32,17/06/2020
FULANE SILVE,88888906,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-22,0,Negativo,Masculino,48,22/06/2020
FULANE SILVE,88888907,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-31,0,Negativo,Masculino,37,28/05/2020
FULANE SILVE,88888908,RUA LUGAR NENHUM,Ouro Preto,99999999,Cura,2020-04-15,0,Negativo,Masculino,45,08/04/2020
FULANE SILVE,88888909,RUA LUGAR NENHUM,SÆo Paulo,99999999,,2020-07-04,0,Negativo,Feminino,47,02/07/2020
FULANE SILVE,88888910,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-20,0,Negativo,Masculino,46,19/06/2020
FULANE SILVE,88888911,RUA LUGAR NENHUM,Itabira,99999999,,2020-06-22,0,Positivo,Masculino,25,22/06/2020
FULANE SILVE,88888912,RUA LUGAR NENHUM,Itabirito,99999999,,2020-06-19,0,Positivo,Masculino,36,04/06/2020
FULANE SILVE,88888913,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-31,0,Negativo,Masculino,40,29/05/2020
FULANE SILVE,88888914,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-12,0,Negativo,Masculino,28,01/06/2020
FULANE SILVE,88888915,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-18,0,Negativo,Masculino,39,18/06/2020
FULANE SILVE,88888916,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-01,0,,Masculino,45,26/05/2020
FULANE SILVE,88888917,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-04,0,Negativo,Masculino,43,02/06/2020
FULANE SILVE,88888918,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-17,0,Negativo,Masculino,42,17/06/2020
FULANE SILVE,88888919,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-17,0,Negativo,Masculino,36,17/06/2020
FULANE SILVE,88888920,RUA LUGAR NENHUM,Mariana,99999999,,2020-07-13,0,Positivo,Masculino,42,13/07/2020
FULANE SILVE,88888921,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-03-18,0,Negativo,Masculino,38,16/03/2020
FULANE SILVE,88888922,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-15,0,Negativo,Masculino,37,15/07/2020
FULANE SILVE,88888923,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-25,0,Negativo,Masculino,45,25/05/2020
FULANE SILVE,88888924,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-16,0,Negativo,Masculino,44,16/06/2020
FULANE SILVE,88888925,RUA LUGAR NENHUM,Mariana,99999999,,2020-06-02,0,Positivo,Masculino,29,02/06/2020
FULANE SILVE,88888926,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-13,0,,Feminino,23,06/05/2020
FULANE SILVE,88888927,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-20,0,Negativo,Masculino,51,08/07/2020
FULANE SILVE,88888928,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-26,0,Negativo,Masculino,40,26/06/2020
FULANE SILVE,88888929,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-15,0,Negativo,Masculino,42,15/07/2020
FULANE SILVE,88888930,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-21,0,,Masculino,40,18/06/2020
FULANE SILVE,88888931,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-13,0,Negativo,Masculino,52,13/07/2020
FULANE SILVE,88888932,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-09,0,Negativo,Masculino,59,05/06/2020
FULANE SILVE,88888933,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-15,0,Negativo,Masculino,42,15/06/2020
FULANE SILVE,88888934,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-20,0,Negativo,Masculino,27,19/06/2020
FULANE SILVE,88888935,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-16,0,Negativo,Masculino,22,16/06/2020
FULANE SILVE,88888936,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-04,0,Negativo,Masculino,56,28/04/2020
FULANE SILVE,88888937,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-10,0,,Feminino,31,06/07/2020
FULANE SILVE,88888938,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-12,0,Negativo,Masculino,58,27/05/2020
FULANE SILVE,88888939,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-04-14,0,,Feminino,1,10/04/2020
FULANE SILVE,88888940,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-28,0,Negativo,Masculino,22,28/05/2020
FULANE SILVE,88888941,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-10,0,Negativo,Masculino,36,10/07/2020
FULANE SILVE,88888942,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-05-31,0,Negativo,Masculino,49,29/05/2020
FULANE SILVE,88888943,RUA LUGAR NENHUM,Ouro Preto,99999999,Cura,2020-03-27,0,,Masculino,60,27/03/2020
FULANE SILVE,88888944,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-09,0,Negativo,Masculino,28,09/07/2020
FULANE SILVE,88888945,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-18,0,Negativo,Masculino,39,
FULANE SILVE,88888946,RUA LUGAR NENHUM,SÆo Paulo,99999999,,2020-06-01,0,Negativo,Masculino,33,01/06/2020
FULANE SILVE,88888947,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-10,0,Negativo,Feminino,42,02/07/2020
FULANE SILVE,88888948,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-07-09,0,Negativo,Feminino,43,07/07/2020
FULANE SILVE,88888949,RUA LUGAR NENHUM,Barra Longa,99999999,,2020-06-22,0,Negativo,Feminino,44,22/06/2020
FULANE SILVE,88888950,RUA LUGAR NENHUM,BarÆo de Cocais,99999999,,2020-06-05,0,Negativo,Masculino,39,28/05/2020
FULANE SILVE,88888951,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-25,0,Negativo,Masculino,41,25/06/2020
FULANE SILVE,88888952,RUA LUGAR NENHUM,SÆo Paulo,99999999,,2020-07-02,0,Negativo,Masculino,42,01/07/2020
FULANE SILVE,88888953,RUA LUGAR NENHUM,Ouro Preto,99999999,,2020-06-23,0,Negativo,Masculino,39,23/06/2020
FULANE SILVE,88888954,RUA LUGAR NENHUM,Cajuri,99999999,,2020-07-09,0,Negativo,Masculino,37,09/07/2020
