Name, CPF, Address, City Notification, Phone, Evolution, Date Notification, CEP, Result  Test, Gender, Age, Date Simptoms, Number Of Duplicities
FULANE SILVE, 88888888, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-04, 0, Negativo, Masculino, 38, 03/06/2020, 0
FULANE SILVE, 88888889, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-20, 0, Negativo, Masculino, 30, 19/06/2020
FULANE SILVE, 88888890, RUA LUGAR NENHUM, Itabirito, 99999999, , 2020-07-01, 0, Positivo, Masculino, 45, 30/06/2020
FULANE SILVE, 88888891, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 55, 17/06/2020
FULANE SILVE, 88888892, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-23, 0, Negativo, Masculino, 52, 23/06/2020
FULANE SILVE, 88888893, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 56, 25/05/2020
FULANE SILVE, 88888894, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-07-08, 0, Positivo, Masculino, 56, 06/07/2020
FULANE SILVE, 88888895, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-09, 0, Negativo, Masculino, 34, 09/06/2020
FULANE SILVE, 88888896, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-16, 0, Negativo, Feminino, 31, 01/06/2020
FULANE SILVE, 88888897, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-06, 0, Negativo, Feminino, 30, 20/05/2020
FULANE SILVE, 88888898, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-04, 0, Negativo, Masculino, 42, 01/06/2020
FULANE SILVE, 88888899, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-05-28, 0, Negativo, Masculino, 0, 26/05/2020
FULANE SILVE, 88888900, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Masculino, 45, 25/06/2020
FULANE SILVE, 88888901, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-26, 0, Negativo, Masculino, 54, 26/06/2020
FULANE SILVE, 88888902, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-26, 0, Negativo, Masculino, 51, 26/05/2020
FULANE SILVE, 88888903, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 51, 27/05/2020
FULANE SILVE, 88888904, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 45, 27/05/2020
FULANE SILVE, 88888905, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-17, 0, Negativo, Masculino, 32, 17/06/2020
FULANE SILVE, 88888906, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-22, 0, Negativo, Masculino, 48, 22/06/2020
FULANE SILVE, 88888907, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 37, 28/05/2020
FULANE SILVE, 88888908, RUA LUGAR NENHUM, Ouro Preto, 99999999, Cura, 2020-04-15, 0, Negativo, Masculino, 45, 08/04/2020
FULANE SILVE, 88888909, RUA LUGAR NENHUM, SÆo Paulo, 99999999, , 2020-07-04, 0, Negativo, Feminino, 47, 02/07/2020
FULANE SILVE, 88888910, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-20, 0, Negativo, Masculino, 46, 19/06/2020
FULANE SILVE, 88888911, RUA LUGAR NENHUM, Itabira, 99999999, , 2020-06-22, 0, Positivo, Masculino, 25, 22/06/2020
FULANE SILVE, 88888912, RUA LUGAR NENHUM, Itabirito, 99999999, , 2020-06-19, 0, Positivo, Masculino, 36, 04/06/2020
FULANE SILVE, 88888913, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-05-31, 0, Negativo, Masculino, 40, 29/05/2020
FULANE SILVE, 88888914, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-12, 0, Negativo, Masculino, 28, 01/06/2020
FULANE SILVE, 88888915, RUA LUGAR NENHUM, Ouro Preto, 99999999, , 2020-06-18, 0, Negativo, Masculino, 39, 18/06/2020
